"CatalogDate","CatalogID","CatalogName","Image","Itemnumber","ItemCategory","ItemSubcat2","ItemSubcat3","ItemSubcat4","ItemSubcat5","Description","Parts/Merch/EquipCode","PurchaseUOM","Weight","WeightUOM","Length","Width","Height","SizeUOM","ListPrice","NetPrice","Currency","CatalogDetailedDescription","ItemDetailedDescription"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10417808","DUCTING&HVAC","LAYFLATPOLYDUCT","","","","20""X500FTLAYFLAT/WHITEPOLYDUCT6MIL-NONPRINTED","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","20""X500FTLAYFLAT/WHITEPOLYDUCT6MIL-NONPRINTED"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422673","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETX150#ASAFLANGE","","","10""BAUERFEMALESOCKETX150#ASAFLANGE","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","10""BAUERFEMALESOCKETX150#ASAFLANGE"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422685","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETX150#ASAFLANGE","","","6""BAUERFEMALESOCKETX150#ASAFLANGE","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","6""BAUERFEMALESOCKETX150#ASAFLANGE"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422702","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETX150#ASAFLANGE","","","4""BAUERFEMALESOCKETX150#ASAFLANGE","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","4""BAUERFEMALESOCKETX150#ASAFLANGE"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422707","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETX150#ASAFLANGE","","","8""BAUERFEMALESOCKETX150#ASAFLANGE","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","8""BAUERFEMALESOCKETX150#ASAFLANGE"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422716","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETX150#ASAFLANGE","","","12""BAUERFEMALESOCKETX150#ASAFLANGE","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","12""BAUERFEMALESOCKETX150#ASAFLANGE"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10425776","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETX150#ASAFLANGE","","","3""BAUERFEMALESOCKETX150#ASAFLANGE","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","3""BAUERFEMALESOCKETX150#ASAFLANGE"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422714","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXFEMALEPIPE","","","6""BAUERFEMALESOCKETXFEMALEPIPETHREAD","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","6""BAUERFEMALESOCKETXFEMALEPIPETHREAD"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422720","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXFEMALEPIPE","","","4""BAUERFEMALESOCKETXFEMALEPIPETHREAD","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","4""BAUERFEMALESOCKETXFEMALEPIPETHREAD"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10425715","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXFEMALEPIPE","","","8""BAUERFEMALESOCKETXFEMALEPIPETHREAD","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","8""BAUERFEMALESOCKETXFEMALEPIPETHREAD"
